,House,Day Wasted,Type,Kg,Price,Servings,Kcal,Status,Meat & Fish,Dairy & Eggs,Fruits & Vegetables,Dry Foods & Baked Goods,"Snacks, Condiments, Liquids, Oils, Grease, & Other",Store-Prepared Items
0,0,0,Store-Prepared Items,0.15143507375693663,0.0006304909737493104,1.594053407967754,422.5038557818532,Plate Waste,0.0,0.0,0.0,0.0,0.0,1.594053407967754
1,1,0,Meat & Fish,0.07200000000000001,0.00042428571428571434,0.8,161.28000000000003,Inedible,0.8,0.0,0.0,0.0,0.0,0.0
2,1,0,Meat & Fish,0.036000000000000004,0.00021214285714285717,0.4,80.64000000000001,Inedible,0.4,0.0,0.0,0.0,0.0,0.0
3,1,0,Meat & Fish,0.07200000000000001,0.00042428571428571434,0.8,161.28000000000003,Inedible,0.8,0.0,0.0,0.0,0.0,0.0
4,1,0,"Cooked, Prepped, Leftovers",0.37254844025214534,0.0012903756913185062,4.1386129182128615,941.7205516674945,Plate Waste,1.312461133964484,0.0,0.2430483581415711,0.638716560974237,1.9443868651325689,0.0
5,2,0,Store-Prepared Items,0.03510314960519993,0.00014614988738853135,0.3695068379494729,97.93778739850781,Plate Waste,0.0,0.0,0.0,0.0,0.0,0.3695068379494729
6,3,0,Store-Prepared Items,0.05617771088690456,0.00023389257693988657,0.5913443251253112,156.73581337446373,Plate Waste,0.0,0.0,0.0,0.0,0.0,0.5913443251253112
7,3,0,Meat & Fish,0.07200000000000001,0.00042428571428571434,0.8,161.28000000000003,Inedible,0.8,0.0,0.0,0.0,0.0,0.0
8,0,1,"Cooked, Prepped, Leftovers",0.10201941810993628,0.00019080764888820847,1.2752427263742032,308.2580480328043,Plate Waste,0.0,0.0,0.0,0.6376213631871016,0.6376213631871016,0.0
9,0,1,Meat & Fish,0.054000000000000006,0.00031821428571428577,0.6000000000000001,120.96000000000001,Inedible,0.6000000000000001,0.0,0.0,0.0,0.0,0.0
10,0,1,Dairy & Eggs,0.0872,0.00037684960098219767,0.8,157.832,Inedible,0.0,0.8,0.0,0.0,0.0,0.0
11,0,1,Dairy & Eggs,0.0872,0.00037684960098219767,0.8,157.832,Inedible,0.0,0.8,0.0,0.0,0.0,0.0
12,0,1,Dairy & Eggs,0.0654,0.00028263720073664825,0.6000000000000001,118.374,Inedible,0.0,0.6000000000000001,0.0,0.0,0.0,0.0
13,0,1,Dairy & Eggs,0.08720000000000001,0.0003768496009821977,0.8,157.83200000000002,Inedible,0.0,0.8,0.0,0.0,0.0,0.0
14,0,1,Meat & Fish,0.072,0.00042428571428571423,0.8,161.28,Inedible,0.8,0.0,0.0,0.0,0.0,0.0
15,0,1,"Cooked, Prepped, Leftovers",0.3631644475140466,0.0013238856883273954,3.9530531317136575,855.327697354536,Plate Waste,1.1422600586542513,1.2240550479452252,0.0,0.7933690125570904,0.7933690125570904,0.0
16,1,1,Meat & Fish,0.07200000000000001,0.00042428571428571434,0.8,161.28000000000003,Inedible,0.8,0.0,0.0,0.0,0.0,0.0
17,1,1,Meat & Fish,0.036000000000000004,0.00021214285714285717,0.4,80.64000000000001,Inedible,0.4,0.0,0.0,0.0,0.0,0.0
18,1,1,"Cooked, Prepped, Leftovers",0.08397954503487833,0.0005414018214090471,0.8007698896306227,95.52767918947266,Plate Waste,0.0,0.0,0.6260686707625066,0.17470121886811607,0.0,0.0
19,2,1,"Cooked, Prepped, Leftovers",0.08917431689180613,0.00032740699619903345,0.9853515678652611,152.7492000504728,Plate Waste,0.0,0.0,0.49267578393263056,0.49267578393263056,0.0,0.0
20,2,1,Meat & Fish,0.054000000000000006,0.00031821428571428577,0.6000000000000001,120.96000000000001,Inedible,0.6000000000000001,0.0,0.0,0.0,0.0,0.0
21,2,1,Meat & Fish,0.054000000000000006,0.00031821428571428577,0.6000000000000001,120.96000000000001,Inedible,0.6000000000000001,0.0,0.0,0.0,0.0,0.0
22,3,1,Meat & Fish,0.072,0.00042428571428571423,0.8,161.28,Inedible,0.8,0.0,0.0,0.0,0.0,0.0
23,3,1,"Cooked, Prepped, Leftovers",0.14271109713024177,0.0005239693811433537,1.576918200334163,244.45385941580196,Plate Waste,0.0,0.0,0.7884591001670815,0.7884591001670815,0.0,0.0
24,3,1,Store-Prepared Items,1.1400000000000001,13.242240000000002,12.0,3180.6000000000004,Expired,0.0,0.0,0.0,0.0,0.0,12.0
25,0,2,Meat & Fish,0.072,0.00042428571428571423,0.8,161.28,Inedible,0.8,0.0,0.0,0.0,0.0,0.0
26,0,2,Dairy & Eggs,0.0436,0.00018842480049109883,0.4,78.916,Inedible,0.0,0.4,0.0,0.0,0.0,0.0
27,0,2,Dairy & Eggs,0.0654,0.00028263720073664825,0.6000000000000001,118.374,Inedible,0.0,0.6000000000000001,0.0,0.0,0.0,0.0
28,0,2,Meat & Fish,0.06113247853271219,0.000360244962782054,0.6792497614745798,136.93675191327532,Inedible,0.6792497614745798,0.0,0.0,0.0,0.0,0.0
29,0,2,Dairy & Eggs,0.04360000000000001,0.00018842480049109886,0.4,78.91600000000001,Inedible,0.0,0.4,0.0,0.0,0.0,0.0
30,0,2,Dairy & Eggs,0.0872,0.00037684960098219767,0.8,157.832,Inedible,0.0,0.8,0.0,0.0,0.0,0.0
31,0,2,Meat & Fish,0.072,0.00042428571428571423,0.8,161.28,Inedible,0.8,0.0,0.0,0.0,0.0,0.0
32,0,2,"Cooked, Prepped, Leftovers",0.3644482262739911,0.0017628125716920187,3.685272091179712,737.2275642258627,Plate Waste,1.5492405245029215,0.8607888403025872,0.47821602239032623,0.0,0.797026703983877,0.0
33,0,2,Store-Prepared Items,0.5700000000000001,6.621120000000001,6.0,1590.3000000000002,Expired,0.0,0.0,0.0,0.0,0.0,6.0
34,1,2,Meat & Fish,0.036000000000000004,0.00021214285714285717,0.4,80.64000000000001,Inedible,0.4,0.0,0.0,0.0,0.0,0.0
35,1,2,Store-Prepared Items,0.5700000000000001,6.621120000000001,6.0,1590.3000000000002,Expired,0.0,0.0,0.0,0.0,0.0,6.0
36,1,2,Dairy & Eggs,0.07847999999999988,0.0003391646408839774,0.7199999999999989,142.0487999999998,Inedible,0.0,0.7199999999999989,0.0,0.0,0.0,0.0
37,1,2,Store-Prepared Items,1.1400000000000001,13.242240000000002,12.0,3180.6000000000004,Expired,0.0,0.0,0.0,0.0,0.0,12.0
38,2,2,Dairy & Eggs,0.08720000000000001,0.0003768496009821977,0.8,157.83200000000002,Inedible,0.0,0.8,0.0,0.0,0.0,0.0
39,2,2,"Cooked, Prepped, Leftovers",0.19072226015665067,0.0008360714994667249,1.907810249908411,341.33360505542834,Plate Waste,0.19895008125030994,0.26526677500041324,0.7000095451399794,0.2646299492114067,0.4789538993063017,0.0
40,2,2,Dairy & Eggs,0.08720000000000001,0.0003768496009821977,0.8,157.83200000000002,Inedible,0.0,0.8,0.0,0.0,0.0,0.0
41,2,2,Store-Prepared Items,1.1400000000000001,13.242240000000002,12.0,3180.6000000000004,Expired,0.0,0.0,0.0,0.0,0.0,12.0
42,3,2,"Cooked, Prepped, Leftovers",0.12773037422706723,0.0007526968481237892,1.4192263803007468,286.1160382686305,Plate Waste,1.4192263803007468,0.0,0.0,0.0,0.0,0.0
